repo_name,landscape_action,landscape_layer,landscape_section,openrank_2606,stars,license,description,selection_reason,selection_caveat
FlowiseAI/Flowise,add,Agent Infra,Workflow & agent builders,11.53,54996,NOASSERTION,"Build AI Agents, Visually",54k+ stars 的可视化 agent builder，结构定位比 ComfyUI 更贴合通用 agent workflow。,与 Dify、Langflow 功能接近；该区维持五个 logo，不继续扩容。
langfuse/langfuse,keep,Agent Infra,Observability & evaluation,38.8,32022,NOASSERTION,"🪢 Open source AI engineering platform: LLM evals, observability, metrics, prompt management, playground, datasets. Integrates with OpenTelemetry, LangChain, OpenAI SDK, LiteLLM, and more. 🍊YC W23","当前图中的 Observability & evaluation 代表项目；仓库仍在维护，32,022 stars，最近可用 OpenRank 38.80。",商业产品和 open-core 较多，后续要持续检查许可证与开放治理。
comet-ml/opik,keep,Agent Infra,Observability & evaluation,45.14,20941,Apache-2.0,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","当前图中的 Observability & evaluation 代表项目；仓库仍在维护，20,941 stars，最近可用 OpenRank 45.14。",商业产品和 open-core 较多，后续要持续检查许可证与开放治理。
Arize-ai/phoenix,keep,Agent Infra,Observability & evaluation,37.35,10780,NOASSERTION,AI Observability & Evaluation,"当前图中的 Observability & evaluation 代表项目；仓库仍在维护，10,780 stars，最近可用 OpenRank 37.35。",商业产品和 open-core 较多，后续要持续检查许可证与开放治理。
promptfoo/promptfoo,keep,Agent Infra,Observability & evaluation,17.26,23689,MIT,"Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, DeepSeek, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic.","当前图中的 Observability & evaluation 代表项目；仓库仍在维护，23,689 stars，最近可用 OpenRank 17.26。",商业产品和 open-core 较多，后续要持续检查许可证与开放治理。
milvus-io/milvus,add,Agent Infra,"Memory, knowledge & context",68.34,45399,Apache-2.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",成熟向量数据库仍是 agent context 的重要底座；当前 45k+ stars、最近可用 OpenRank 68.34，社区信号稳定。,它是通用向量数据库，不应被描述成 agent memory framework；在图中承担底层检索基础设施的位置。
NousResearch/hermes-agent,keep,Agent Infra,Personal AI assistants,503.71,221762,MIT,The agent that grows with you,"当前图中的 Personal AI assistants 代表项目；仓库仍在维护，221,762 stars，最近可用 OpenRank 503.71。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
obra/superpowers,keep,Agent Infra,Coding harnesses,12.59,262543,MIT,An agentic skills framework & software development methodology that works.,"当前图中的 Coding harnesses 代表项目；仓库仍在维护，262,543 stars，最近可用 OpenRank 12.59。",harness 热度容易受短期传播影响，需要持续检查外部贡献和真实复用。
earendil-works/pi,keep,Agent Infra,Agentic coding,69.59,79543,MIT,"AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI","当前图中的 Agentic coding 代表项目；仓库仍在维护，79,543 stars，最近可用 OpenRank 69.59。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
paperclipai/paperclip,keep,Agent Infra,Multi-agent orchestration,67.51,74970,MIT,The open-source app everyone uses to manage agents at work,"当前图中的 Multi-agent orchestration 代表项目；仓库仍在维护，74,970 stars，最近可用 OpenRank 67.51。",多 agent 概念变化快，保留项目需要持续显示独立编排能力。
CopilotKit/CopilotKit,keep,Agent Infra,Code-first frameworks,35.83,36339,MIT,"The Frontend Stack for Agents & Generative UI. React, Angular, Mobile, Slack, and more.  Makers of the AG-UI Protocol","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，36,339 stars，最近可用 OpenRank 35.83。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
oceanbase/seekdb,keep,Agent Infra,"Memory, knowledge & context",6.25,2851,Apache-2.0,"The AI-Native Search Database. Best for agent storage, it unifies vector, text, structured, and semi-structured data into a single engine. This all-in-one database makes agents smarter, easier to run, and more stable.","当前图中的 Memory, knowledge & context 代表项目；仓库仍在维护，2,851 stars，最近可用 OpenRank 6.25。",数据库、RAG 和 memory 边界容易混淆，图中要标清每个项目承担的层次。
warpdotdev/warp,keep,Agent Infra,Agentic coding,80.51,63735,AGPL-3.0,"Warp is an agentic development environment, born out of the terminal.","当前图中的 Agentic coding 代表项目；仓库仍在维护，63,735 stars，最近可用 OpenRank 80.51。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
HKUDS/nanobot,keep,Agent Infra,Personal AI assistants,44.73,46331,MIT,"Ultra-lightweight, open-source, self-hosted personal AI agent framework in Python with WebUI, tools, memory, MCP, multi-agent workflows, automation, and chat apps","当前图中的 Personal AI assistants 代表项目；仓库仍在维护，46,331 stars，最近可用 OpenRank 44.73。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
multica-ai/multica,keep,Agent Infra,Multi-agent orchestration,38.68,42351,NOASSERTION,"The open-source managed agents platform. Turn coding agents into real teammates — assign tasks, track progress, compound skills.","当前图中的 Multi-agent orchestration 代表项目；仓库仍在维护，42,351 stars，最近可用 OpenRank 38.68。",多 agent 概念变化快，保留项目需要持续显示独立编排能力。
bytedance/deer-flow,keep,Agent Infra,Multi-agent orchestration,172.36,78057,MIT,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.","当前图中的 Multi-agent orchestration 代表项目；仓库仍在维护，78,057 stars，最近可用 OpenRank 172.36。",多 agent 概念变化快，保留项目需要持续显示独立编排能力。
vercel-labs/agent-browser,keep,Agent Infra,Tool & browser use,3.54,39397,Apache-2.0,Browser automation CLI for AI agents,"当前图中的 Tool & browser use 代表项目；仓库仍在维护，39,397 stars，最近可用 OpenRank 3.54。",browser/computer-use 项目迭代很快，需要按可复现能力和维护状态复核。
vectorize-io/hindsight,keep,Agent Infra,"Memory, knowledge & context",22.31,18857,MIT,Hindsight: Agent Memory That  Learns,"当前图中的 Memory, knowledge & context 代表项目；仓库仍在维护，18,857 stars，最近可用 OpenRank 22.31。",数据库、RAG 和 memory 边界容易混淆，图中要标清每个项目承担的层次。
affaan-m/ECC,keep,Agent Infra,Coding harnesses,18.2,234546,MIT,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","当前图中的 Coding harnesses 代表项目；仓库仍在维护，234,546 stars，最近可用 OpenRank 18.20。",harness 热度容易受短期传播影响，需要持续检查外部贡献和真实复用。
agentscope-ai/QwenPaw,keep,Agent Infra,Personal AI assistants,57.61,29630,Apache-2.0,"Your Personal AI Assistant; easy to install, deploy on your own machine or on the cloud; supports multiple chat apps with easily extensible capabilities.","当前图中的 Personal AI assistants 代表项目；仓库仍在维护，29,630 stars，最近可用 OpenRank 57.61。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
alibaba/page-agent,keep,Agent Infra,Tool & browser use,,28053,MIT,JavaScript in-page GUI agent. Control web interfaces with natural language.,"当前图中的 Tool & browser use 代表项目；仓库仍在维护，28,053 stars，最近窗口暂未产出 OpenRank。",browser/computer-use 项目迭代很快，需要按可复现能力和维护状态复核。
QwenLM/qwen-code,keep,Agent Infra,Agentic coding,60.25,26393,Apache-2.0,An open-source AI coding agent that lives in your terminal.,"当前图中的 Agentic coding 代表项目；仓库仍在维护，26,393 stars，最近可用 OpenRank 60.25。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
github/copilot-cli,keep,Agent Infra,Agentic coding,21.01,11029,NOASSERTION,GitHub Copilot CLI brings the power of Copilot coding agent directly to your terminal.,"当前图中的 Agentic coding 代表项目；仓库仍在维护，11,029 stars，最近可用 OpenRank 21.01。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
opensandbox-group/OpenSandbox,keep,Agent Infra,Development sandboxes,16.08,12219,Apache-2.0,"Secure, Fast, and Extensible Sandbox runtime for AI agents.","当前图中的 Development sandboxes 代表项目；仓库仍在维护，12,219 stars，最近可用 OpenRank 16.08。",编排层和隔离 runtime 不是一回事，主图说明中要保留这一区别。
volcengine/OpenViking,add,Agent Infra,"Memory, knowledge & context",140.23,27560,AGPL-3.0,"Self-evolving Context Database for AI Agents. Unify Agent Memory, Knowledge RAG and Skills.",把 memory、RAG 和 skills 收敛为 context database，补上当前图缺少的 agent-native context 数据层。,主仓库使用 AGPL-3.0；图例或许可证分析中需要明确标注。
microsoft/agent-framework,add,Agent Infra,Code-first frameworks,48.02,12468,MIT,"A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.",统一 Python 与 .NET 的 agent 和 multi-agent 开发路径，补足企业开发栈与跨语言框架代表。,与 AutoGen、Semantic Kernel 有谱系关系；主图只保留当前统一框架，不并列堆放三个 Microsoft 项目。
JetBrains/koog,add,Agent Infra,Code-first frameworks,37.49,4476,Apache-2.0,"Koog is a JVM (Java and Kotlin) framework for building predictable, fault-tolerant and enterprise-ready AI agents across all platforms – from backend services to Android and iOS, JVM, and even in-browser environments. Koog is based on our AI products expertise and provides proven solutions for complex LLM and AI problems",为 Kotlin/JVM、Android 和 iOS 提供 agent framework，修正当前框架区过度集中在 Python、TypeScript 的问题。,社区规模仍小于 LangChain、Pydantic AI；入图理由是语言生态代表性，不是热度排名。
trycua/cua,add,Agent Infra,Tool & browser use,14.16,20726,MIT,"Scale computer-use 2.0 with open-source drivers, cross-OS fleets, and benchmarks for training, evaluation, and data generation.",把 computer use 扩展到跨 OS driver、fleet、benchmark 和数据生成，结构价值高于再增加一个 browser agent。,最近可用 OpenRank 绝对值不高；保留依据主要是类别变化和当前关注度。
ag-ui-protocol/ag-ui,add,Agent Infra,Protocols & interoperability,12.72,14963,MIT,AG-UI: the Agent-User Interaction Protocol. Bring Agents into Frontend Applications.,补上 agent 到前端应用之间的事件与交互协议，当前协议区不再只围绕 MCP 和 A2A。,AG-UI 更偏交互事件和传输层；不要与 A2UI 合并成同一个概念。
a2ui-project/a2ui,add,Agent Infra,Protocols & interoperability,35.99,15926,Apache-2.0,An open protocol and set of libraries for agent-generated user interfaces.,代表声明式 agent-generated UI，与 MCP、A2A、AG-UI 共同构成更完整的 agent interface 协议面。,官方仍标注 early-stage public preview，主图应加 preview 标识。
kubernetes-sigs/agent-sandbox,add,Agent Infra,Development sandboxes,21.6,3319,Apache-2.0,"agent-sandbox enables easy management of isolated, stateful, singleton workloads, ideal for use cases like AI agent runtimes.",Kubernetes SIG Apps 承载的声明式 sandbox orchestration，补上稳定身份、持久存储和 warm pool 这一层。,它是 sandbox orchestrator，不是底层隔离 runtime；与 OpenSandbox、Coder、Daytona 的角色需要区分。
topoteretes/cognee,add,Agent Infra,"Memory, knowledge & context",25.68,29501,Apache-2.0,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,长期记忆与 knowledge graph 结合，补足当前 memory 区对图结构和持久知识表达的覆盖。,与 RAGFlow、Mem0 有部分功能重叠；保留重点是 graph-based memory，不再额外增加同类项目。
