composite_rank,composite_score,score_status,model_name,vendor,vendor_slug,primary_category,capability_tags,is_open_weight,open_weight_evidence,license,license_class,hf_gated,openrouter_model_id,openrouter_canonical_slug,zenmux_model_id,zenmux_match_method,zenmux_match_confidence,huggingface_model_id,openrouter_tokens,openrouter_requests,openrouter_documented_top50_tokens,openrouter_usage_change,openrouter_variants_merged,zenmux_tokens,zenmux_rank,hf_downloads_30d,hf_downloads_all_time,hf_likes,openrouter_usage_score,zenmux_usage_score,hf_downloads_30d_score,hf_likes_score,release_date_hf,openrouter_added_date,hf_last_modified,input_modalities,output_modalities,hf_pipeline_tag,context_length,max_completion_tokens,parameter_count_b,architecture,model_type,model_structure,experts_per_token,quantization_method,supports_reasoning,supports_tools,supports_structured_output,prompt_price_usd_per_million,completion_price_usd_per_million,knowledge_cutoff,openrouter_url,zenmux_url,huggingface_url,source_presence,openrouter_model_ids_merged
11,61.7878,complete_three_sources,GLM 5.1,Z.ai,z-ai,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|coding,True,https://huggingface.co/zai-org/GLM-5.1,mit,open_source_license,False,z-ai/glm-5.1,z-ai/glm-5.1-20260406,z-ai/glm-5.1,exact_slug,1.0,zai-org/GLM-5.1,93733870312,6815742,0,-0.19650430032967417,z-ai/glm-5.1-20260406,655745461,33,84623,606906,1839,83.2298,43.75,32.2981,83.5443,2026-04-03,2026-04-07,2026-05-13,text,text,text-generation,204800,128000,753.864,GlmMoeDsaForCausalLM,glm_moe_dsa,Mixture-of-Experts,8,,True,True,True,0.966,3.036,,https://openrouter.ai/z-ai/glm-5.1,https://zenmux.ai/models/z-ai/glm-5.1,https://huggingface.co/zai-org/GLM-5.1,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,z-ai/glm-5.1
12,60.491,complete_three_sources,Gemma 4 31B,Google,google,Multimodal / VLM,image_input|text_input|video_input|text_output|reasoning|tool_use|structured_output,True,https://huggingface.co/google/gemma-4-31B-it,apache-2.0,open_source_license,False,google/gemma-4-31b-it,google/gemma-4-31b-it-20260402,,unmatched,0.323,google/gemma-4-31B-it,376179367352,70168615,374589328290,-0.5164760735258197,google/gemma-4-31b-it-20260402|google/gemma-4-31b-it-20260402:free,0,,12393109,42804768,3393,91.9255,0.0,96.2733,93.6709,2026-03-11,2026-04-02,2026-07-20,image|text|video,text,image-text-to-text,262144,262144,32.682,Gemma4ForConditionalGeneration,gemma4,Dense or unspecified,,,True,True,True,0.14,0.39999999999999997,,https://openrouter.ai/google/gemma-4-31b-it,,https://huggingface.co/google/gemma-4-31B-it,OpenRouter|HuggingFace,google/gemma-4-31b-it|google/gemma-4-31b-it:free
13,60.1517,complete_three_sources,gpt-oss-120b,OpenAI,openai,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic,True,https://huggingface.co/openai/gpt-oss-120b,apache-2.0,open_source_license,False,openai/gpt-oss-120b,openai/gpt-oss-120b,,unmatched,0.381,openai/gpt-oss-120b,475274744877,116057938,475274744877,-0.09494144880048584,openai/gpt-oss-120b,0,,4326683,47550715,5047,93.7888,0.0,87.5776,96.2025,2025-08-04,2025-08-05,2025-08-26,text,text,text-generation,131072,131072,120.412,GptOssForCausalLM,gpt_oss,Mixture-of-Experts,4,mxfp4,True,True,True,0.037,0.16999999999999998,2024-06-30,https://openrouter.ai/openai/gpt-oss-120b,,https://huggingface.co/openai/gpt-oss-120b,OpenRouter|HuggingFace,openai/gpt-oss-120b
14,59.5146,complete_three_sources,GLM 5,Z.ai,z-ai,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic,True,https://huggingface.co/zai-org/GLM-5,mit,open_source_license,False,z-ai/glm-5,z-ai/glm-5-20260211,z-ai/glm-5,exact_slug,1.0,zai-org/GLM-5,251976820903,9973376,218521110176,0.4659883800707087,z-ai/glm-5-20260211,443142689,39,157161,1249019,2119,88.8199,25.0,42.8571,87.3418,2026-02-11,2026-02-11,2026-04-05,text,text,text-generation,204800,131072,753.864,GlmMoeDsaForCausalLM,glm_moe_dsa,Mixture-of-Experts,8,,True,True,True,0.95,2.5500000000000003,,https://openrouter.ai/z-ai/glm-5,https://zenmux.ai/models/z-ai/glm-5,https://huggingface.co/zai-org/GLM-5,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,z-ai/glm-5
15,59.1654,complete_three_sources,Gemma 4 26B A4B ,Google,google,Multimodal / VLM,image_input|text_input|video_input|text_output|reasoning|tool_use|structured_output,True,https://huggingface.co/google/gemma-4-26B-A4B-it,apache-2.0,open_source_license,False,google/gemma-4-26b-a4b-it,google/gemma-4-26b-a4b-it-20260403,,unmatched,0.294,google/gemma-4-26B-A4B-it,346074164374,84453548,333009006376,-0.04962352359423863,google/gemma-4-26b-a4b-it-20260403|google/gemma-4-26b-a4b-it-20260403:free,0,,13007085,44058078,1332,91.3043,0.0,96.8944,70.8861,2026-03-11,2026-04-03,2026-07-20,image|text|video,text,image-text-to-text,262144,262144,26.544,Gemma4ForConditionalGeneration,gemma4,Mixture-of-Experts,,,True,True,True,0.16,0.48,,https://openrouter.ai/google/gemma-4-26b-a4b-it,,https://huggingface.co/google/gemma-4-26B-A4B-it,OpenRouter|HuggingFace,google/gemma-4-26b-a4b-it|google/gemma-4-26b-a4b-it:free
16,56.7649,complete_three_sources,Kimi K2.6,MoonshotAI,moonshotai,Multimodal / VLM,text_input|image_input|text_output|reasoning|tool_use|structured_output|coding|agentic,True,https://huggingface.co/moonshotai/Kimi-K2.6,other,open_weight_custom_or_other_license,False,moonshotai/kimi-k2.6,moonshotai/kimi-k2.6-20260420,moonshotai/kimi-k2.6,exact_slug,1.0,moonshotai/Kimi-K2.6,295878396529,15814749,275095027867,-0.0657158719643106,moonshotai/kimi-k2.6-20260420,134165198,49,884375,7043478,1579,90.0621,6.25,67.0807,79.7468,2026-04-14,2026-04-20,2026-05-19,text|image,text,image-text-to-text,262144,262144,1058.589,KimiK25ForConditionalGeneration,kimi_k25,Dense or unspecified,,,True,True,True,0.646,2.7199999999999998,,https://openrouter.ai/moonshotai/kimi-k2.6,https://zenmux.ai/models/moonshotai/kimi-k2.6,https://huggingface.co/moonshotai/Kimi-K2.6,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,moonshotai/kimi-k2.6
17,56.1139,complete_three_sources,gpt-oss-20b,OpenAI,openai,Reasoning,text_input|text_output|reasoning|tool_use|structured_output,True,https://huggingface.co/openai/gpt-oss-20b,apache-2.0,open_source_license,False,openai/gpt-oss-20b,openai/gpt-oss-20b,,unmatched,0.4,openai/gpt-oss-20b,111042399871,27081437,17906818322,-0.2997319338958155,openai/gpt-oss-20b|openai/gpt-oss-20b:free,0,,8088875,85758838,4851,83.8509,0.0,90.6832,95.5696,2025-08-04,2025-08-05,2025-08-26,text,text,text-generation,131072,131072,21.512,GptOssForCausalLM,gpt_oss,Mixture-of-Experts,4,mxfp4,True,True,True,0.03,0.14,2024-06-30,https://openrouter.ai/openai/gpt-oss-20b,,https://huggingface.co/openai/gpt-oss-20b,OpenRouter|HuggingFace,openai/gpt-oss-20b|openai/gpt-oss-20b:free
18,55.403,complete_three_sources,Step 3.7 Flash,StepFun,stepfun,Multimodal / VLM,text_input|image_input|video_input|text_output|reasoning|tool_use|structured_output|coding,True,https://huggingface.co/stepfun-ai/Step-3.7-Flash,apache-2.0,open_source_license,False,stepfun/step-3.7-flash,stepfun/step-3.7-flash-20260528,stepfun/step-3.7-flash,exact_slug,1.0,stepfun-ai/Step-3.7-Flash,2022915336531,29027348,2022915336531,1.674953565891965,stepfun/step-3.7-flash-20260528,176649127,45,144225,302028,426,95.6522,12.5,40.9938,36.7089,2026-05-23,2026-05-28,2026-06-03,text|image|video,text,image-text-to-text,262144,256000,201.365,Step3p7ForConditionalGeneration,step3p7,Mixture-of-Experts,,,True,True,True,0.19999999999999998,1.15,,https://openrouter.ai/stepfun/step-3.7-flash,https://zenmux.ai/models/stepfun/step-3.7-flash,https://huggingface.co/stepfun-ai/Step-3.7-Flash,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,stepfun/step-3.7-flash
19,55.0222,complete_three_sources,Qwen3.6 35B A3B,Qwen,qwen,Multimodal / VLM,text_input|image_input|video_input|text_output|reasoning|tool_use|structured_output,True,https://huggingface.co/Qwen/Qwen3.6-35B-A3B,apache-2.0,open_source_license,False,qwen/qwen3.6-35b-a3b,qwen/qwen3.6-35b-a3b-20260415,,unmatched,0.519,Qwen/Qwen3.6-35B-A3B,84451670716,8709450,0,-0.10633706447048465,qwen/qwen3.6-35b-a3b-20260415,0,,6158876,20149609,2562,82.6087,0.0,88.8199,90.5063,2026-04-15,2026-04-27,2026-04-24,text|image|video,text,image-text-to-text,262144,262144,35.952,Qwen3_5MoeForConditionalGeneration,qwen3_5_moe,Mixture-of-Experts,,,True,True,True,0.14,1.0,,https://openrouter.ai/qwen/qwen3.6-35b-a3b,,https://huggingface.co/Qwen/Qwen3.6-35B-A3B,OpenRouter|HuggingFace,qwen/qwen3.6-35b-a3b
20,54.9552,complete_three_sources,Qwen3 Embedding 8B,Qwen,qwen,Embedding / Rerank,text_input|embeddings_output,True,https://huggingface.co/Qwen/Qwen3-Embedding-8B,apache-2.0,open_source_license,False,qwen/qwen3-embedding-8b,qwen/qwen3-embedding-8b,,unmatched,0.778,Qwen/Qwen3-Embedding-8B,213195842298,64349250,193404497031,0.7807921702553465,qwen/qwen3-embedding-8b,0,,3377421,18884925,761,87.5776,0.0,86.3354,51.8987,2025-06-03,2025-10-28,2025-07-07,text,embeddings,feature-extraction,32768,,7.567,Qwen3ForCausalLM,qwen3,Dense or unspecified,,,False,False,False,0.01,,,https://openrouter.ai/qwen/qwen3-embedding-8b,,https://huggingface.co/Qwen/Qwen3-Embedding-8B,OpenRouter|HuggingFace,qwen/qwen3-embedding-8b
21,54.1908,complete_three_sources,Llama 3.1 8B Instruct,Meta,meta-llama,General Language,text_input|text_output|tool_use|structured_output,True,https://huggingface.co/meta-llama/Meta-Llama-3.1-8B-Instruct,llama3.1,open_weight_custom_or_other_license,manual,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,,unmatched,0.769,meta-llama/Meta-Llama-3.1-8B-Instruct,53517137773,51163577,0,0.03981299373326177,meta-llama/llama-3.1-8b-instruct,0,,8022692,173534147,6409,79.5031,0.0,90.0621,98.1013,2024-07-18,2024-07-23,2024-09-25,text,text,text-generation,131072,131072,8.03,LlamaForCausalLM,llama,Dense or unspecified,,,False,True,True,0.049999999999999996,0.08,2023-12-31,https://openrouter.ai/meta-llama/llama-3.1-8b-instruct,,https://huggingface.co/meta-llama/Meta-Llama-3.1-8B-Instruct,OpenRouter|HuggingFace,meta-llama/llama-3.1-8b-instruct
22,54.029,complete_three_sources,Kimi K2.5,MoonshotAI,moonshotai,Multimodal / VLM,text_input|image_input|text_output|reasoning|tool_use|structured_output|coding|agentic,True,https://huggingface.co/moonshotai/Kimi-K2.5,other,open_weight_custom_or_other_license,False,moonshotai/kimi-k2.5,moonshotai/kimi-k2.5-0127,moonshotai/kimi-k2.5,exact_slug,1.0,moonshotai/Kimi-K2.5,190928026164,9745007,179785065209,0.2007650710682416,moonshotai/kimi-k2.5-0127,123057828,50,972850,14882479,2858,86.9565,0.0,68.9441,91.1392,2026-01-01,2026-01-27,2026-04-30,text|image,text,image-text-to-text,262144,262144,1058.589,KimiK25ForConditionalGeneration,kimi_k25,Dense or unspecified,,,True,True,True,0.5700000000000001,2.8499999999999996,,https://openrouter.ai/moonshotai/kimi-k2.5,https://zenmux.ai/models/moonshotai/kimi-k2.5,https://huggingface.co/moonshotai/Kimi-K2.5,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,moonshotai/kimi-k2.5
23,53.8655,complete_three_sources,Qwen3.5-9B,Qwen,qwen,Multimodal / VLM,text_input|image_input|video_input|text_output|reasoning|tool_use|structured_output|coding,True,https://huggingface.co/Qwen/Qwen3.5-9B,apache-2.0,open_source_license,False,qwen/qwen3.5-9b,qwen/qwen3.5-9b-20260310,,unmatched,0.6,Qwen/Qwen3.5-9B,49920277621,9450477,0,0.320582591157706,qwen/qwen3.5-9b-20260310,0,,11214005,41983203,1764,78.882,0.0,95.0311,82.2785,2026-02-27,2026-03-10,2026-03-02,text|image|video,text,image-text-to-text,262144,262144,9.653,Qwen3_5ForConditionalGeneration,qwen3_5,Dense or unspecified,,,True,True,True,0.09999999999999999,0.15,,https://openrouter.ai/qwen/qwen3.5-9b,,https://huggingface.co/Qwen/Qwen3.5-9B,OpenRouter|HuggingFace,qwen/qwen3.5-9b
24,53.0994,complete_three_sources,GLM 4.7 Flash,Z.ai,z-ai,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|coding|agentic,True,https://huggingface.co/zai-org/GLM-4.7-Flash,mit,open_source_license,False,z-ai/glm-4.7-flash,z-ai/glm-4.7-flash-20260119,z-ai/glm-4.7-flash-free,exact_slug,1.0,zai-org/GLM-4.7-Flash,23729425939,4881271,0,-0.474497917077893,z-ai/glm-4.7-flash-20260119,199105780,44,2159991,10137466,1793,67.7019,18.75,79.5031,82.9114,2026-01-19,2026-01-19,2026-01-29,text,text,text-generation,202752,16384,31.221,Glm4MoeLiteForCausalLM,glm4_moe_lite,Mixture-of-Experts,4,,True,True,True,0.06,0.39999999999999997,,https://openrouter.ai/z-ai/glm-4.7-flash,https://zenmux.ai/models/z-ai/glm-4.7-flash-free,https://huggingface.co/zai-org/GLM-4.7-Flash,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,z-ai/glm-4.7-flash
25,52.8491,complete_three_sources,Nemotron 3 Ultra,NVIDIA,nvidia,Reasoning,text_input|text_output|reasoning|tool_use|structured_output,True,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16,other,open_weight_custom_or_other_license,False,nvidia/nemotron-3-ultra-550b-a55b,nvidia/nemotron-3-ultra-550b-a55b-20260604,,unmatched,0.0,nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16,2517118960559,27709236,2480960523182,-0.1497105305082577,nvidia/nemotron-3-ultra-550b-a55b-20260604|nvidia/nemotron-3-ultra-550b-a55b-20260604:free,0,,339360,481320,298,96.8944,0.0,53.4161,24.6835,2026-06-03,2026-06-04,2026-06-10,text,text,text-generation,512288,16384,560.525,NemotronHForCausalLM,nemotron_h,Mixture-of-Experts,22,,True,True,True,0.5,2.2,,https://openrouter.ai/nvidia/nemotron-3-ultra-550b-a55b,,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16,OpenRouter|HuggingFace,nvidia/nemotron-3-ultra-550b-a55b|nvidia/nemotron-3-ultra-550b-a55b:free
26,52.591,complete_three_sources,Mistral Nemo,Mistral,mistralai,General Language,text_input|text_output|tool_use|structured_output,True,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,apache-2.0,open_source_license,False,mistralai/mistral-nemo,mistralai/mistral-nemo,,unmatched,0.516,mistralai/Mistral-Nemo-Instruct-2407,266687267616,98367027,266687267616,-0.02336878693562044,mistralai/mistral-nemo,0,,438357,9670540,1692,89.441,0.0,55.2795,81.0127,2024-07-17,2024-07-19,2025-07-28,text,text,,131072,16384,12.248,MistralForCausalLM,mistral,Dense or unspecified,,,False,True,True,0.019000000000000003,0.03,2024-04-30,https://openrouter.ai/mistralai/mistral-nemo,,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,OpenRouter|HuggingFace,mistralai/mistral-nemo
27,52.206,complete_three_sources,MiniMax M2.7,MiniMax,minimax,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic,True,https://huggingface.co/MiniMaxAI/MiniMax-M2.7,other,open_weight_custom_or_other_license,False,minimax/minimax-m2.7,minimax/minimax-m2.7-20260318,minimax/minimax-m2.7,exact_slug,1.0,MiniMaxAI/MiniMax-M2.7,137862116192,6119969,19554821108,0.19312149902584674,minimax/minimax-m2.7-20260318,0,,948259,5129953,1232,85.7143,0.0,68.323,67.7215,2026-04-09,2026-03-18,2026-04-20,text,text,text-generation,204800,131072,228.704,MiniMaxM2ForCausalLM,minimax_m2,Mixture-of-Experts,8,fp8,True,True,True,0.25,1.0,,https://openrouter.ai/minimax/minimax-m2.7,https://zenmux.ai/models/minimax/minimax-m2.7,https://huggingface.co/MiniMaxAI/MiniMax-M2.7,OpenRouter|ZenMux_catalog|HuggingFace,minimax/minimax-m2.7
